code,year,gdp_per_capita
BLR,2012,25879.133
BLR,2013,26147.625
BLR,2014,26564.436
BLR,2015,25513.213
BLR,2016,24846.83
BLR,2017,25503.98
BLR,2018,26363.463
BLR,2019,26798.82
BLR,2020,26731.496
BLR,2021,27611.18
BLR,2022,26537.508
BLR,2023,27782.438
BLR,2024,29040.973
BEL,1990,41640.06
BEL,1991,42246.074
BEL,1992,42719.047
BEL,1993,42143.195
BEL,1994,43369.277
BEL,1995,44310.63
BEL,1996,44808.523
BEL,1997,46396.004
BEL,1998,47205.31
BEL,1999,48765.766
BEL,2000,50455.734
BEL,2001,50835.4
BEL,2002,51471.85
BEL,2003,51788.844
BEL,2004,53406.69
BEL,2005,54346.895
BEL,2006,55367.62
BEL,2007,56983.46
BEL,2008,56787.74
BEL,2009,55258.707
BEL,2010,56240.203
BEL,2011,56585.3
BEL,2012,56356.824
BEL,2013,56263.176
BEL,2014,57002.91
BEL,2015,57509.023
BEL,2016,57901.496
BEL,2017,58529.332
BEL,2018,59357.69
BEL,2019,60479.977
BEL,2020,57333.543
BEL,2021,60669.215
BEL,2022,62561.78
BEL,2023,63095.402
BEL,2024,63347.785
BLZ,1990,8251.617
BLZ,1991,9028.073
BLZ,1992,9967.777
BLZ,1993,10366.859
BLZ,1994,10146.399
BLZ,1995,9967.847
BLZ,1996,9782.645
BLZ,1997,9862.267
BLZ,1998,9894.6
BLZ,1999,10460.635
BLZ,2000,11363.687
BLZ,2001,11567.026
BLZ,2002,11828.187
BLZ,2003,12589.268
BLZ,2004,12807.166
BLZ,2005,12714.97
BLZ,2006,12912.53
BLZ,2007,12973.207
BLZ,2008,12415.681
BLZ,2009,12033.91
BLZ,2010,11913.664
BLZ,2011,11641.771
BLZ,2012,11843.415
BLZ,2013,12064.797
BLZ,2014,12272.296
BLZ,2015,12348.795
BLZ,2016,12063.06
BLZ,2017,11572.301
BLZ,2018,11451.897
BLZ,2019,11765.975
BLZ,2020,10045.141
BLZ,2021,11716.327
BLZ,2022,12565.364
BLZ,2023,12371.009
BLZ,2024,12621.408
BEN,1990,2207.0679
BEN,1991,2230.4604
BEN,1992,2226.5667
BEN,1993,2254.2456
BEN,1994,2215.3662
BEN,1995,2300.141
BEN,1996,2337.6304
BEN,1997,2399.786
BEN,1998,2419.1
BEN,1999,2470.685
BEN,2000,2536.169
BEN,2001,2591.065
BEN,2002,2630.1807
BEN,2003,2639.0437
BEN,2004,2672.844
BEN,2005,2632.4724
BEN,2006,2652.2185
BEN,2007,2729.1375
BEN,2008,2777.6196
BEN,2009,2758.0725
BEN,2010,2733.574
BEN,2011,2732.0125
BEN,2012,2779.7266
BEN,2013,2893.0466
BEN,2014,2987.3823
BEN,2015,2952.0022
BEN,2016,2962.6638
BEN,2017,3041.7793
BEN,2018,3155.4512
BEN,2019,3281.1047
BEN,2020,3317.8596
BEN,2021,3464.2886
BEN,2022,3588.3252
BEN,2023,3721.2126
BEN,2024,3901.326
BMU,1990,79747.484
BMU,1991,76365.05
BMU,1992,75766.695
BMU,1993,77503.46
BMU,1994,77470.3
BMU,1995,80427.24
BMU,1996,82122.78
BMU,1997,85380.836
BMU,1998,88034.81
BMU,1999,90290.56
BMU,2000,98019.93
BMU,2001,104560.836
BMU,2002,102559.766
BMU,2003,105642.98
BMU,2004,107803.2
BMU,2005,109335.38
BMU,2006,115170.9
BMU,2007,118691.07
BMU,2008,115942.73
BMU,2009,108962.82
BMU,2010,105968.875
BMU,2011,101989.93
BMU,2012,96711.07
BMU,2013,96549.79
BMU,2014,93042.27
BMU,2015,93859.875
BMU,2016,93265.07
BMU,2017,96437.195
BMU,2018,95639.23
BMU,2019,95519.92
BMU,2020,88618.086
BMU,2021,92319.67
BMU,2022,98145.17
BMU,2023,103052.35
BMU,2024,109311.94
BTN,1990,3411.3838
BTN,1991,3338.0095
BTN,1992,3624.598
BTN,1993,3850.5513
BTN,1994,4042.4941
BTN,1995,4379.8706
BTN,1996,4616.92
BTN,1997,4778.705
BTN,1998,4965.8765
BTN,1999,5241.3667
BTN,2000,5287.574
BTN,2001,5545.6304
BTN,2002,5991.255
BTN,2003,6323.541
BTN,2004,6517.997
BTN,2005,6850.804
BTN,2006,7140.856
BTN,2007,8195.07
BTN,2008,8470.035
BTN,2009,9019.118
