code,year,child_mortality
AND,2013,3
AND,2014,2.9
AND,2015,2.8
AGO,1800,485.7
AGO,1801,485.7
AGO,1802,485.7
AGO,1803,485.7
AGO,1804,485.7
AGO,1805,485.7
AGO,1806,485.7
AGO,1807,485.7
AGO,1808,485.7
AGO,1809,485.7
AGO,1810,485.7
AGO,1811,485.7
AGO,1812,485.7
AGO,1813,485.7
AGO,1814,485.7
AGO,1815,485.7
AGO,1816,485.7
AGO,1817,485.7
AGO,1818,485.7
AGO,1819,485.7
AGO,1820,485.7
AGO,1821,485.7
AGO,1822,485.7
AGO,1823,485.7
AGO,1824,485.7
AGO,1825,485.7
AGO,1826,485.7
AGO,1827,485.7
AGO,1828,485.7
AGO,1829,485.7
AGO,1830,485.7
AGO,1831,485.7
AGO,1832,485.7
AGO,1833,485.7
AGO,1834,485.7
AGO,1835,485.7
AGO,1836,485.7
AGO,1837,485.7
AGO,1838,485.7
AGO,1839,485.7
AGO,1840,485.7
AGO,1841,485.7
AGO,1842,485.7
AGO,1843,485.7
AGO,1844,485.7
AGO,1845,485.7
AGO,1846,485.7
AGO,1847,485.7
AGO,1848,485.7
AGO,1849,485.7
AGO,1850,485.7
AGO,1851,485.7
AGO,1852,485.7
AGO,1853,485.7
AGO,1854,485.7
AGO,1855,485.7
AGO,1856,485.7
AGO,1857,485.7
AGO,1858,485.7
AGO,1859,485.7
AGO,1860,485.7
AGO,1861,485.7
AGO,1862,485.7
AGO,1863,485.7
AGO,1864,485.7
AGO,1865,485.7
AGO,1866,485.7
AGO,1867,485.7
AGO,1868,485.7
AGO,1869,485.7
AGO,1870,485.7
AGO,1871,485.7
AGO,1872,485.7
AGO,1873,485.7
AGO,1874,485.7
AGO,1875,485.7
AGO,1876,485.7
AGO,1877,485.7
AGO,1878,485.7
AGO,1879,485.7
AGO,1880,485.7
AGO,1881,485.7
AGO,1882,485.7
AGO,1883,485.7
AGO,1884,485.7
AGO,1885,485.7
AGO,1886,485.7
AGO,1887,485.7
AGO,1888,485.7
AGO,1889,485.7
AGO,1890,485.7
AGO,1891,485.7
AGO,1892,485.7
AGO,1893,485.7
AGO,1894,485.7
AGO,1895,485.6
AGO,1896,485.6
AGO,1897,485.4
AGO,1898,485.2
AGO,1899,485
AGO,1900,484.6
AGO,1901,484.2
AGO,1902,483.7
AGO,1903,483.1
AGO,1904,482.5
AGO,1905,481.8
AGO,1906,481
AGO,1907,480.1
AGO,1908,479.2
AGO,1909,478.1
AGO,1910,477.1
AGO,1911,476
AGO,1912,474.9
AGO,1913,473.7
AGO,1914,472.6
AGO,1915,471.4
AGO,1916,470.3
